NAME,PLATFORM,YEAR,GENRE,PUBLISHER,GLOBAL_SALES,SALES_TIER
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,11.02,2
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,10.95,2
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,10.79,2
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,10.77,2
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,10.69,2
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,10.57,2
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,10.55,2
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,10.49,2
Super Mario 64,DS,2004.0,Platform,Nintendo,10.42,2
Just Dance 3,Wii,2011.0,Misc,Ubisoft,10.26,2
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,10.21,2
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,9.88,2
Mario Kart 64,N64,1996.0,Racing,Nintendo,9.87,2
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,9.82,2
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,9.76,2
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,9.72,2
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,9.59,2
Just Dance 2,Wii,2010.0,Misc,Ubisoft,9.52,2
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,9.49,2
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,9.32,2
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,9.3,2
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,9.2,2
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,9.09,2
Mario Party DS,DS,2007.0,Misc,Nintendo,9.02,2
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,8.84,2
Super Mario Kart,SNES,1992.0,Racing,Nintendo,8.76,2
FIFA 16,PS4,2015.0,Sports,Electronic Arts,8.49,2
Wii Party,Wii,2010.0,Misc,Nintendo,8.49,2
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,8.49,2
Mario Party 8,Wii,2007.0,Misc,Nintendo,8.42,2
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,8.33,2
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,8.24,2
The Sims 3,PC,2009.0,Simulation,Electronic Arts,8.11,2
GoldenEye 007,N64,1997.0,Shooter,Nintendo,8.09,2
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,8.06,2
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,2
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,7.86,2
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,7.84,2
Pac-Man,2600,1982.0,Puzzle,Atari,7.81,2
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,7.72,2
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,7.69,2
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,7.67,2
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,7.6,2
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,7.6,2
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,7.58,2
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,7.46,2
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,7.45,2
Call of Duty: World at War,X360,2008.0,Shooter,Activision,7.37,2
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,7.34,2
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,7.31,2
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,7.3,2
Just Dance,Wii,2009.0,Misc,Ubisoft,7.27,2
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,7.23,2
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,7.2,2
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,7.16,2
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,7.13,2
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,7.07,2
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,6.96,2
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,6.96,2
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,6.95,2
Just Dance 4,Wii,2012.0,Misc,Ubisoft,6.91,2
FIFA 14,PS3,2013.0,Sports,Electronic Arts,6.9,2
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,6.9,2
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,6.83,2
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,6.83,2
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,6.82,2
Zumba Fitness,Wii,2010.0,Sports,505 Games,6.81,2
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,6.76,2
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,6.73,2
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,6.72,2
FIFA 12,PS3,2011.0,Sports,Electronic Arts,6.69,2
Big Brain Academy,DS,2005.0,Misc,Nintendo,6.67,2
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,6.6,2
FIFA 15,PS4,2014.0,Sports,Electronic Arts,6.59,2
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,6.59,2
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,6.56,2
The Legend of Zelda,NES,1986.0,Action,Nintendo,6.51,2
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,6.5,2
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,6.43,2
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,6.41,2
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,2
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,6.39,2
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,6.36,2
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,6.34,2
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,6.31,2
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,6.3,2
World of Warcraft,PC,2004.0,Role-Playing,Activision,6.28,2
Driver,PS,1999.0,Action,GT Interactive,6.27,2
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,6.24,2
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,6.24,2
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,6.11,2
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,6.05,2
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,6.03,2
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,6.03,2
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,6.03,2
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,5.99,2
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,5.95,2
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,5.92,2
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,5.84,2
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,5.83,2
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,5.82,2
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,5.74,2
Cooking Mama,DS,2006.0,Simulation,505 Games,5.72,2
Destiny,PS4,2014.0,Shooter,Activision,5.65,2
Tetris,NES,1988.0,Puzzle,Nintendo,5.58,2
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,5.57,2
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,5.55,2
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,5.55,2
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.53,2
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,5.51,2
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,5.5,2
Super Mario Advance,GBA,2001.0,Platform,Nintendo,5.49,2
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,5.47,2
Super Mario World,GBA,2001.0,Platform,Nintendo,5.46,2
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,5.45,2
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,5.43,2
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,5.42,2
Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,5.42,2
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,5.36,2
Dr. Mario,GB,1989.0,Puzzle,Nintendo,5.34,2
Pokemon Pinball,GB,1999.0,Misc,Nintendo,5.31,2
Assassin's Creed III,X360,2012.0,Action,Ubisoft,5.3,2
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,5.3,2
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,5.29,2
Donkey Kong 64,N64,1999.0,Platform,Nintendo,5.27,2
Assassin's Creed II,X360,2009.0,Action,Ubisoft,5.27,2
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,5.26,2
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,5.24,2
Madden NFL 2004,PS2,,Sports,Electronic Arts,5.23,2
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,5.21,2
Diablo III,PC,2012.0,Role-Playing,Activision,5.2,2
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,5.2,2
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,5.19,2
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,5.19,2
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,5.18,2
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,5.17,2
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,5.15,2
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,5.15,2
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,5.14,2
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,5.13,2
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,5.13,2
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,5.13,2
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,5.13,2
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,5.12,2
Guitar Hero II,PS2,2006.0,Misc,RedOctane,5.12,2
Resident Evil 5,PS3,2009.0,Action,Capcom,5.11,2
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,5.08,2
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,5.08,2
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,5.08,2
Super Mario Bros.,GB,1999.0,Platform,Nintendo,5.07,3
Resident Evil,PS,1996.0,Action,Virgin Interactive,5.05,3
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,5.02,3
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,5.02,3
Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,5.01,3
Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,5.0,3
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,5.0,3
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,4.98,3
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,4.96,3
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,4.96,3
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,4.94,3
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,4.91,3
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,4.9,3
Diddy Kong Racing,N64,1997.0,Racing,Nintendo,4.88,3
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom,4.87,3
Dr. Mario,NES,1990.0,Puzzle,Nintendo,4.85,3
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,4.84,3
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,4.83,3
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,4.83,3
FIFA 15,PS3,2014.0,Sports,Electronic Arts,4.82,3
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,4.79,3
FIFA 17,PS4,2016.0,Sports,Electronic Arts,4.77,3
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.76,3
Driver 2,PS,2000.0,Action,Atari,4.73,3
The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,4.7,3
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,4.68,3
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,4.68,3
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,4.67,3
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,4.64,3
Tomb Raider,PS,1996.0,Action,Eidos Interactive,4.63,3
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,4.62,3
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,4.61,3
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,4.6,3
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,4.58,3
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,4.58,3
Splatoon,WiiU,2015.0,Shooter,Nintendo,4.57,3
The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,4.55,3
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,4.53,3
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.53,3
Pitfall!,2600,1981.0,Platform,Activision,4.5,3
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,4.49,3
Spider-Man: The Movie,PS2,2002.0,Action,Activision,4.48,3
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,4.47,3
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,4.47,3
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,4.45,3
God of War,PS2,2005.0,Action,Sony Computer Entertainment,4.45,3
Nintendo Land,WiiU,2012.0,Misc,Nintendo,4.44,3
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,4.42,3
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,4.41,3
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,4.39,3
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,4.39,3
Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,4.38,3
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,4.37,3
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,4.35,3
Sonic the Hedgehog,GEN,1991.0,Platform,Sega,4.34,3
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,4.33,3
FIFA 14,X360,2013.0,Sports,Electronic Arts,4.31,3
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,4.31,3
Asteroids,2600,1980.0,Shooter,Atari,4.31,3
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,4.31,3
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,4.26,3
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,4.25,3
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,4.25,3
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,4.24,3
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,4.24,3
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,4.23,3
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,4.22,3
Warcraft II: Tides of Darkness,PC,1995.0,Strategy,Activision,4.21,3
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,4.21,3
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,4.21,3
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,4.2,3
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,4.2,3
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,4.2,3
Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,4.19,3
Street Fighter IV,PS3,2009.0,Fighting,Capcom,4.19,3
FIFA 12,X360,2011.0,Sports,Electronic Arts,4.19,3
Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom,4.17,3
Excitebike,NES,1984.0,Racing,Nintendo,4.16,3
Frogger,PS,1997.0,Action,Hasbro Interactive,4.16,3
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,4.14,3
Watch Dogs,PS4,2014.0,Action,Ubisoft,4.14,3
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.12,3
Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo,4.12,3
FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,4.11,3
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,4.1,3
Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom,4.1,3
Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,4.1,3
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,4.09,3
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,4.09,3
Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,4.08,3
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,4.07,3
Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,4.06,3
World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,4.06,3
Namco Museum Vol.3,PS,1996.0,Misc,Sony Computer Entertainment,4.05,3
Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,4.05,3
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,4.03,3
Star Fox 64,N64,1997.0,Shooter,Nintendo,4.03,3
Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment Europe,4.02,3
Golf,NES,1984.0,Sports,Nintendo,4.01,3
Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,4.01,3
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,4.0,3
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,3.99,3
Namco Museum: 50th Anniversary,PS2,2005.0,Misc,Namco Bandai Games,3.98,3
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,3.92,3
Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,3.92,3
Donkey Kong Land,GB,1994.0,Platform,Nintendo,3.91,3
Tony Hawk's Underground,PS2,2003.0,Sports,Activision,3.9,3
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,3.89,3
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,3.89,3
MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,3.88,3
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,3.88,3
Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,3.87,3
Dragon Warrior III,NES,1988.0,Role-Playing,Enix Corporation,3.87,3
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,3.87,3
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,3.85,3
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,3.85,3
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,3.84,3
Namco Museum Vol.1,PS,1995.0,Misc,Sony Computer Entertainment,3.84,3
The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,3.83,3
Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo,3.83,3
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,3.82,3
Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,3.81,3
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,3.79,3
Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,3.78,3
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,3.78,3
Resident Evil Director's Cut,PS,1996.0,Action,Virgin Interactive,3.77,3
Ratchet & Clank: Size Matters,PSP,2007.0,Platform,Sony Computer Entertainment,3.77,3
Just Dance 2014,Wii,2013.0,Misc,Ubisoft,3.76,3
The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,3.76,3
Super Paper Mario,Wii,2007.0,Platform,Nintendo,3.76,3
Harry Potter and the Sorcerer's Stone,PS,2001.0,Action,Electronic Arts,3.73,3
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,3.73,3
Resident Evil 3: Nemesis,PS,1999.0,Action,Eidos Interactive,3.72,3
Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment,3.71,3
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,3.7,3
Pokémon Trading Card Game,GB,1998.0,Strategy,Nintendo,3.7,3
Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,3.69,3
MySims,DS,2007.0,Simulation,Electronic Arts,3.69,3
Friend Collection,DS,2009.0,Misc,Nintendo,3.67,3
Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision,3.67,3
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,3.66,3
Banjo-Kazooie,N64,1998.0,Platform,Nintendo,3.65,3
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,3
Guitar Hero: World Tour,Wii,2008.0,Misc,Activision,3.65,3
Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment,3.64,3
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,3.64,3
Pokemon Snap,N64,1999.0,Simulation,Nintendo,3.63,3
FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,3.63,3
Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment,3.63,3
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,3.63,3
Resident Evil 4,PS2,2005.0,Action,Capcom,3.62,3
Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,3.61,3
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,3.61,3
Doom II: Hell on Earth,PC,1994.0,Shooter,Virgin Interactive,3.61,3
The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts,3.61,3
Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games,3.61,3
Luigi's Mansion,GC,2001.0,Action,Nintendo,3.6,3
Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts,3.59,3
