NAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_PERCENT,EU_PERCENT,JP_PERCENT,OTHER_PERCENT
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,40.23,34.43,21.31,4.03
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,66.05,25.48,0.75,7.72
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,36.03,28.22,30.24,5.51
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,40.52,40.8,2.46,16.22
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,35.57,41.91,4.63,17.96
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,60.09,31.32,0.51,8.16
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,63.06,26.87,0.59,9.55
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,41.16,43.24,3.64,12.04
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,53.36,34.43,2.29,9.92
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,51.76,20.02,20.4,7.82
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,46.98,34.88,3.77,14.38
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,20.78,28.69,43.44,7.17
Mario Kart 7,3DS,2011.0,Racing,Nintendo,38.82,32.02,21.87,7.29
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,65.65,23.31,1.07,9.97
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,31.72,48.5,3.01,16.86
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,36.97,23.28,33.28,6.47
Super Mario 64,N64,1996.0,Platform,Nintendo,58.12,23.97,16.06,1.93
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,25.81,0.09,9.43,64.58
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,53.47,29.51,10.42,6.6
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,37.33,29.74,27.18,5.74
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,55.1,18.25,24.06,2.59
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,61.34,28.13,1.27,9.35
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,36.71,35.34,23.2,4.75
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,45.32,27.71,19.74,7.23
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,27.48,45.31,7.52,19.68
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,46.68,34.52,3.55,15.25
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,45.03,35.57,4.16,15.33
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,56.78,20.38,20.09,2.75
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,41.37,25.26,30.03,3.34
Super Mario 64,DS,2004.0,Platform,Nintendo,48.75,29.85,12.0,9.4
Just Dance 3,Wii,2011.0,Misc,Ubisoft,58.97,30.7,0.0,10.43
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,65.82,25.76,0.39,8.03
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,71.15,20.04,0.81,7.89
Mario Kart 64,N64,1996.0,Racing,Nintendo,56.23,19.66,22.59,1.52
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,37.27,31.26,25.15,6.42
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,67.93,24.18,0.41,7.48
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,30.97,25.41,33.74,9.88
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,42.65,38.89,3.96,14.39
Just Dance 2,Wii,2010.0,Misc,Ubisoft,61.34,30.36,0.11,8.19
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,40.89,36.04,17.81,5.27
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,63.41,25.54,1.39,9.66
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,46.88,18.39,32.26,2.47
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,60.65,30.76,0.22,8.37
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,22.11,25.52,47.96,4.51
Mario Party DS,DS,2007.0,Misc,Nintendo,49.45,20.84,21.95,7.76
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,56.9,32.35,1.13,9.62
Super Mario Kart,SNES,1992.0,Racing,Nintendo,40.41,14.16,43.49,2.05
FIFA 16,PS4,2015.0,Sports,Electronic Arts,13.07,71.38,0.71,14.84
Wii Party,Wii,2010.0,Misc,Nintendo,21.08,41.58,29.33,8.01
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,80.33,18.02,0.59,0.94
Mario Party 8,Wii,2007.0,Misc,Nintendo,45.25,27.32,18.76,8.67
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,34.93,22.33,37.7,5.16
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,12.86,61.29,1.58,24.39
The Sims 3,PC,2009.0,Simulation,Electronic Arts,12.08,79.16,0.0,8.75
GoldenEye 007,N64,1997.0,Shooter,Nintendo,71.69,24.85,1.61,1.85
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,32.01,48.39,8.19,11.29
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,36.15,25.71,33.91,4.1
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,29.01,21.88,46.18,2.93
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,35.97,22.7,34.31,7.02
Pac-Man,2600,1982.0,Puzzle,Atari,93.21,5.76,0.0,1.02
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,37.56,36.66,3.11,22.67
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,47.59,31.47,12.74,8.32
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,38.2,42.89,2.87,16.04
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,36.84,43.42,1.84,18.03
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,53.95,24.87,19.08,2.11
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,49.87,28.63,17.28,4.09
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,72.25,15.82,9.38,2.55
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,43.49,18.12,32.48,5.77
Call of Duty: World at War,X360,2008.0,Shooter,Activision,64.99,25.78,0.0,9.36
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,60.76,29.02,0.82,9.4
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,52.39,29.96,8.21,9.58
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,61.92,28.63,0.14,9.18
Just Dance,Wii,2009.0,Misc,Ubisoft,48.28,41.68,0.0,10.04
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,39.42,40.53,4.84,15.21
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,45.42,39.31,1.11,14.17
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,45.67,31.01,19.55,4.05
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,51.61,24.54,19.92,3.93
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,62.38,14.71,19.66,3.11
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,44.97,29.74,18.25,7.04
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,35.49,45.26,3.45,15.8
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,59.28,25.47,12.52,2.73
Just Dance 4,Wii,2012.0,Misc,Ubisoft,59.91,31.98,0.0,8.1
FIFA 14,PS3,2013.0,Sports,Electronic Arts,11.3,62.61,1.01,25.07
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,39.28,43.77,1.16,15.8
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,42.9,40.26,2.49,14.49
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,40.56,41.0,2.78,15.52
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,47.36,34.46,13.78,4.4
Zumba Fitness,Wii,2010.0,Sports,505 Games,51.4,38.77,0.0,9.84
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,61.39,28.4,0.89,9.47
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,48.59,33.43,3.12,14.86
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,46.13,34.23,4.17,15.48
FIFA 12,PS3,2011.0,Sports,Electronic Arts,12.56,64.57,1.64,21.23
Big Brain Academy,DS,2005.0,Misc,Nintendo,25.04,41.68,23.99,9.3
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,42.27,39.55,2.58,15.61
FIFA 15,PS4,2014.0,Sports,Electronic Arts,11.99,65.1,0.76,22.31
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,49.32,27.92,15.63,7.13
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,38.87,41.31,3.81,16.01
The Legend of Zelda,NES,1986.0,Action,Nintendo,57.45,14.29,25.96,2.15
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,40.62,39.38,2.46,17.54
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,77.45,20.22,1.24,1.09
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,40.09,24.65,32.14,3.28
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,56.88,18.75,23.28,1.09
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,39.91,24.41,20.19,15.49
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,68.24,21.23,0.94,9.59
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,58.36,31.07,1.42,8.99
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,63.55,19.97,13.79,2.69
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,39.21,13.17,45.56,1.9
World of Warcraft,PC,2004.0,Role-Playing,Activision,1.11,98.89,0.0,0.0
Driver,PS,1999.0,Action,GT Interactive,49.6,44.66,0.32,5.26
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,62.82,28.53,0.48,8.17
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,64.9,25.96,1.12,7.85
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,57.94,31.1,1.15,9.82
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,40.5,33.22,14.38,11.9
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,74.13,19.9,2.65,3.15
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,43.62,28.86,13.76,13.76
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,52.74,30.35,12.94,3.98
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,40.23,38.06,4.67,16.86
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,31.6,0.0,39.16,29.24
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,47.3,34.63,2.87,15.2
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,11.3,11.82,74.49,2.57
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,62.78,27.96,0.0,9.09
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,32.3,25.26,34.71,7.73
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,39.37,32.93,23.69,4.01
Cooking Mama,DS,2006.0,Simulation,505 Games,54.72,33.92,1.22,10.14
Destiny,PS4,2014.0,Shooter,Activision,44.07,36.28,2.83,16.99
Tetris,NES,1988.0,Puzzle,Nintendo,53.23,12.37,32.44,1.97
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,45.6,35.01,3.77,15.62
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,53.15,10.81,35.5,0.72
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,59.1,29.73,1.26,9.91
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,48.82,34.54,1.99,14.47
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,54.26,34.85,1.81,9.26
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,8.55,10.36,75.09,6.18
Super Mario Advance,GBA,2001.0,Platform,Nintendo,57.19,22.59,16.58,3.64
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,47.9,29.98,18.1,4.2
Super Mario World,GBA,2001.0,Platform,Nintendo,58.79,20.33,17.4,3.66
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,58.35,22.75,17.25,1.65
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,50.09,34.44,0.0,15.47
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,38.19,42.25,4.43,15.13
Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,36.35,46.31,0.0,17.34
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,32.46,23.13,34.89,9.7
Dr. Mario,GB,1989.0,Puzzle,Nintendo,40.82,17.98,37.45,3.75
Pokemon Pinball,GB,1999.0,Misc,Nintendo,56.87,21.09,19.02,3.01
Assassin's Creed III,X360,2012.0,Action,Ubisoft,59.06,32.26,0.57,8.3
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,30.57,14.53,52.45,2.64
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,36.29,20.42,39.89,3.21
Donkey Kong 64,N64,1999.0,Platform,Nintendo,63.19,14.99,20.68,1.14
Assassin's Creed II,X360,2009.0,Action,Ubisoft,58.82,29.6,1.52,9.68
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,23.19,47.15,19.58,9.89
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,43.89,46.95,3.82,5.34
Madden NFL 2004,PS2,,Sports,Electronic Arts,81.45,4.97,0.19,13.58
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,12.48,14.4,69.29,3.84
Diablo III,PC,2012.0,Role-Playing,Activision,46.73,41.35,0.0,11.92
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,56.35,24.04,15.96,3.85
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,44.7,25.05,24.47,5.97
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,47.98,18.88,30.25,2.89
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,20.85,67.18,0.58,11.2
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,36.75,35.4,18.38,9.48
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,40.78,14.37,42.72,2.14
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,18.64,39.22,36.7,5.44
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,31.91,48.25,8.56,11.28
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,38.6,43.47,2.53,15.59
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,52.83,11.89,33.14,2.14
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,69.98,21.64,0.97,7.41
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,62.57,29.82,0.19,7.41
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,62.89,33.01,0.0,3.91
Guitar Hero II,PS2,2006.0,Misc,RedOctane,74.41,12.3,0.0,13.28
Resident Evil 5,PS3,2009.0,Action,Capcom,38.36,27.98,21.14,12.72
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,52.36,39.57,0.0,8.07
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,33.46,39.76,3.15,23.82
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,11.81,64.76,1.18,22.24
Super Mario Bros.,GB,1999.0,Platform,Nintendo,67.06,25.64,2.96,4.34
Resident Evil,PS,1996.0,Action,Virgin Interactive,40.59,22.97,21.98,14.46
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,68.13,27.49,0.4,3.98
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,51.59,21.12,15.94,11.35
Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,55.69,37.72,0.0,6.59
Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,67.2,27.2,1.4,4.2
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,61.2,23.6,5.8,9.2
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,70.08,0.2,0.2,29.72
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,68.35,20.77,1.81,8.87
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,37.3,24.19,31.05,7.46
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,46.76,35.02,2.43,15.79
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,81.06,5.3,0.2,13.44
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,58.98,31.43,0.0,9.39
Diddy Kong Racing,N64,1997.0,Racing,Nintendo,59.63,20.29,18.24,2.05
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,100.0,0.0
Dr. Mario,NES,1990.0,Puzzle,Nintendo,54.02,12.37,31.34,2.06
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,56.61,28.1,2.48,13.02
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,53.0,34.78,0.0,12.22
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,39.54,41.41,1.86,17.18
FIFA 15,PS3,2014.0,Sports,Electronic Arts,11.83,65.15,0.83,22.2
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,53.65,32.78,9.19,4.38
FIFA 17,PS4,2016.0,Sports,Electronic Arts,5.87,78.62,1.26,14.47
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,62.82,27.52,0.84,8.61
Driver 2,PS,2000.0,Action,Atari,49.89,44.4,0.42,5.29
The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,36.81,46.6,0.0,16.81
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,65.17,30.13,0.43,4.27
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,39.96,23.93,28.21,7.91
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,41.54,41.76,1.71,14.99
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,44.83,43.97,1.29,10.13
Tomb Raider,PS,1996.0,Action,Eidos Interactive,49.46,42.55,2.81,5.18
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,66.23,24.24,0.0,9.52
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,52.49,19.74,24.95,2.82
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,56.52,21.52,19.35,2.83
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,41.27,43.45,4.8,10.48
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,38.86,30.35,24.02,6.55
Splatoon,WiiU,2015.0,Shooter,Nintendo,33.92,25.16,31.51,9.41
The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,39.12,41.1,1.54,18.02
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,70.42,20.31,0.22,9.27
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,92.27,5.74,0.22,1.77
Pitfall!,2600,1981.0,Platform,Activision,93.56,5.33,0.0,1.11
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,80.85,5.35,0.22,13.59
Spider-Man: The Movie,PS2,2002.0,Action,Activision,60.49,33.71,0.67,5.13
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,4.47,3.13,91.72,0.45
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,43.85,37.81,1.79,16.55
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,34.61,43.6,4.27,17.3
God of War,PS2,2005.0,Action,Sony Computer Entertainment,60.9,28.99,0.45,9.66
Nintendo Land,WiiU,2012.0,Misc,Nintendo,57.43,25.0,10.36,7.43
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,60.41,30.54,0.23,8.82
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,60.32,29.25,0.23,10.43
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,2.28,54.44,23.92,19.59
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,64.24,23.92,2.96,9.11
Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,50.0,11.42,36.76,1.83
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,46.45,40.96,1.83,10.76
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,39.77,39.77,3.22,17.24
Sonic the Hedgehog,GEN,1991.0,Platform,Sega,69.82,20.97,5.99,3.0
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,50.81,13.39,31.87,3.93
FIFA 14,X360,2013.0,Sports,Electronic Arts,21.35,67.98,0.23,10.67
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,63.81,27.38,0.0,8.58
Asteroids,2600,1980.0,Shooter,Atari,92.81,6.03,0.0,1.16
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,58.24,29.47,2.55,9.51
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,61.97,28.17,0.7,9.15
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,49.65,26.12,16.94,7.06
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,52.47,31.53,1.65,14.35
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,33.25,47.64,2.36,16.98
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,70.75,26.18,1.18,1.65
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,34.52,0.0,19.62,45.63
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,58.06,24.17,0.0,17.77
Warcraft II: Tides of Darkness,PC,1995.0,Strategy,Activision,40.38,53.92,0.0,5.46
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,48.22,30.17,14.73,7.13
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,18.53,60.57,0.95,19.95
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,20.95,54.76,4.76,19.76
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,30.95,49.29,4.29,15.48
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,30.48,43.57,13.57,12.62
Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,53.7,35.08,0.95,10.26
Street Fighter IV,PS3,2009.0,Fighting,Capcom,48.21,25.3,13.84,12.65
FIFA 12,X360,2011.0,Sports,Electronic Arts,20.05,66.59,0.48,12.65
Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom,81.06,10.55,7.43,0.96
Excitebike,NES,1984.0,Racing,Nintendo,49.04,11.54,37.74,1.68
Frogger,PS,1997.0,Action,Hasbro Interactive,91.11,6.49,0.0,2.64
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,81.16,5.07,0.24,13.53
Watch Dogs,PS4,2014.0,Action,Ubisoft,33.82,44.93,2.66,18.6
Half-Life,PC,1997.0,Shooter,Vivendi Games,97.82,0.0,2.18,0.0
Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo,40.05,14.81,42.72,2.18
FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,17.27,60.34,0.73,21.65
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,52.2,29.27,9.02,9.76
